SESSION NAME:	Saddle Club_ep103
SAMPLE RATE:	48000.000000
BIT DEPTH:	24-bit
SESSION START TIMECODE:	00:00:00:00
TIMECODE FORMAT:	24 Frame
# OF AUDIO TRACKS:	24
# OF AUDIO CLIPS:	962
# OF AUDIO FILES:	416


M A R K E R S  L I S T I N G
#   	LOCATION     	TIME REFERENCE    	UNITS    	NAME                             	TRACK NAME                       	TRACK TYPE   	COMMENTS
1   	10:00:00:00  	1728000000        	Samples  	Location 1                       	Markers                          	Ruler                            	
2   	10:00:30:00  	1729440000        	Samples  	Location 2                       	Markers                          	Ruler                            	
3   	10:01:00:00  	1730880000        	Samples  	Location 3                       	Markers                          	Ruler                            	
4   	10:01:30:00  	1732320000        	Samples  	Location 4                       	Markers                          	Ruler                            	
5   	10:02:00:00  	1733760000        	Samples  	Location 5                       	Markers                          	Ruler                            	
6   	10:02:30:00  	1735200000        	Samples  	Location 6                       	Markers                          	Ruler                            	
7   	10:03:00:00  	1736640000        	Samples  	Location 7                       	Markers                          	Ruler                            	
8   	10:03:30:00  	1738080000        	Samples  	Location 8                       	Markers                          	Ruler                            	
9   	10:04:00:00  	1739520000        	Samples  	Location 9                       	Markers                          	Ruler                            	
10  	10:04:30:00  	1740960000        	Samples  	Location 10                      	Markers                          	Ruler                            	
11  	10:05:00:00  	1742400000        	Samples  	Location 11                      	Markers                          	Ruler                            	
12  	10:05:30:00  	1743840000        	Samples  	Location 12                      	Markers                          	Ruler                            	
13  	10:06:00:00  	1745280000        	Samples  	Location 13                      	Markers                          	Ruler                            	
14  	10:06:30:00  	1746720000        	Samples  	Location 14                      	Markers                          	Ruler                            	
15  	10:07:00:00  	1748160000        	Samples  	Location 15                      	Markers                          	Ruler                            	
16  	10:07:30:00  	1749600000        	Samples  	Location 16                      	Markers                          	Ruler                            	
17  	10:08:00:00  	1751040000        	Samples  	Location 17                      	Markers                          	Ruler                            	
18  	10:08:30:00  	1752480000        	Samples  	Location 18                      	Markers                          	Ruler                            	
19  	10:09:00:00  	1753920000        	Samples  	Location 19                      	Markers                          	Ruler                            	
20  	10:09:30:00  	1755360000        	Samples  	Location 20                      	Markers                          	Ruler                            	
21  	10:10:00:00  	1756800000        	Samples  	Location 21                      	Markers                          	Ruler                            	
